SeqClass	repi	round	RIPRateSet	RIPRatioSet	MuttedSeqNum	RIPedSeqNum	SNPNumOnRIPedSeq	RIPindex-TP	RIPindex-FP	RIPindex-TN	RIPindex-FN	RIPindex-TPR	RIPindex-FPR	RIPindex-Recall	RIPindex-Accuracy	RIPindex-Precision	TiTv10-TP	TiTv10-FP	TiTv10-TN	TiTv10-FN	TiTv10-TPR	TiTv10-FPR	TiTv10-Recall	TiTv10-Accuracy	TiTv10-Precision	TiTv3-TP	TiTv3-FP	TiTv3-TN	TiTv3-FN	TiTv3-TPR	TiTv3-FPR	TiTv3-Recall	TiTv3-Accuracy	TiTv3-Precision	TiTv5-TP	TiTv5-FP	TiTv5-TN	TiTv5-FN	TiTv5-TPR	TiTv5-FPR	TiTv5-Recall	TiTv5-Accuracy	TiTv5-Precision	TiTv7-TP	TiTv7-FP	TiTv7-TN	TiTv7-FN	TiTv7-TPR	TiTv7-FPR	TiTv7-Recall	TiTv7-Accuracy	TiTv7-Precision	TiTv15-TP	TiTv15-FP	TiTv15-TN	TiTv15-FN	TiTv15-TPR	TiTv15-FPR	TiTv15-Recall	TiTv15-Accuracy	TiTv15-Precision	SNP10RIPedSeqNum	SNP1_9RIPedSeqNum	SNPNum	RIPNumFin	OthNumFin	SNP10SeqNum	SNP1_9SeqNum	SNP0SeqNum
Gene	1	0	0.001	0	6270	0	0	0	0	8905	0	0	0	0	1	0	0	2	8903	0	0	0.000224592925322852	0	0.999775407074677	0	0	1067	7838	0	0	0.119820325659742	0	0.880179674340258	0	0	175	8730	0	0	0.0196518809657496	0	0.98034811903425	0	0	22	8883	0	0	0.00247052217855138	0	0.997529477821449	0	0	0	8905	0	0	0	0	1	0	0	0	14296	0	39060	27	6243	2635
Gene	1	20	0.001	0.2	6246	2132	6461	0	0	6773	2132	0	0	0	0.760583941605839	0	4	0	6773	2128	0.000449185850645705	0	0.00187617260787992	0.761033127456485	1	774	447	6326	1358	0.0869174620999438	0.0501965188096575	0.363039399624766	0.797304884896126	0.633906633906634	199	40	6733	1933	0.0223469960696238	0.00449185850645705	0.0933395872420263	0.778439079169006	0.832635983263598	55	6	6767	2077	0.00617630544637844	0.000673778775968557	0.025797373358349	0.766086468276249	0.901639344262295	1	0	6773	2131	0.000112296462661426	0	0.000469043151969981	0.760696238068501	1	24	2108	14005	7583	31235	26	6220	2659
Gene	1	40	0.001	0.4	6300	3662	9915	0	0	5243	3662	0	0	0	0.588770353733857	0	4	0	5243	3658	0.000449185850645705	0	0.00109229929000546	0.589219539584503	1	1263	157	5086	2399	0.141830432341381	0.0176305446378439	0.344893500819224	0.712970241437395	0.88943661971831	272	7	5236	3390	0.0305446378439079	0.000786075238629983	0.0742763517203714	0.618528916339135	0.974910394265233	60	2	5241	3602	0.00673778775968557	0.000224592925322852	0.0163844893500819	0.59528354856822	0.967741935483871	1	0	5243	3661	0.000112296462661426	0	0.000273074822501365	0.588882650196519	1	16	3646	13962	15178	23463	16	6284	2605
Gene	1	60	0.001	0.6	6208	4688	11609	1	0	4217	4687	0.000112296462661426	0	0.000213310580204778	0.473666479505896	1	16	0	4217	4672	0.00179674340258282	0	0.00341296928327645	0.475350926445817	1	1471	42	4175	3217	0.165188096574958	0.0047164514317799	0.313779863481229	0.634025828186412	0.972240581625909	358	1	4216	4330	0.0402021336327906	0.000112296462661426	0.0763651877133106	0.513644020213363	0.997214484679666	85	0	4217	4603	0.00954519932622122	0	0.0181313993174061	0.483099382369455	1	1	0	4217	4687	0.000112296462661426	0	0.000213310580204778	0.473666479505896	1	26	4662	13645	22815	15600	26	6182	2697
Gene	1	80	0.001	0.8	6151	5486	12652	0	0	3419	5486	0	0	0	0.383941605839416	0	14	0	3419	5472	0.00157215047725997	0	0.002551950419249	0.385513756316676	1	1635	3	3416	3851	0.183604716451432	0.000336889387984278	0.298031352533722	0.567209432902864	0.998168498168498	425	0	3419	5061	0.0477259966311061	0	0.0774699234414874	0.431667602470522	1	109	0	3419	5377	0.0122403144300955	0	0.0198687568355815	0.396181920269511	1	1	0	3419	5485	0.000112296462661426	0	0.0001822821728035	0.384053902302077	1	20	5466	13414	30350	7806	20	6131	2754
Gene	1	100	0.001	1	6127	6127	13105	0	0	2778	6127	0	0	0	0.311959573273442	0	25	0	2778	6102	0.00280741156653565	0	0.00408030031010282	0.314766984839978	1	1786	0	2778	4341	0.200561482313307	0	0.291496654153746	0.512521055586749	1	443	0	2778	5684	0.0497473329590118	0	0.072302921495022	0.361706906232454	1	114	0	2778	6013	0.0128017967434026	0	0.0186061694140689	0.324761370016844	1	3	0	2778	6124	0.000336889387984278	0	0.000489636037212339	0.312296462661426	1	25	6102	13105	37931	0	25	6102	2778
Gene	2	0	0.001	0	6351	0	0	0	0	8905	0	0	0	0	1	0	0	5	8900	0	0	0.000561482313307131	0	0.999438517686693	0	0	1131	7774	0	0	0.127007299270073	0	0.872992700729927	0	0	206	8699	0	0	0.0231330713082538	0	0.976866928691746	0	0	39	8866	0	0	0.00437956204379562	0	0.995620437956204	0	0	0	8905	0	0	0	0	1	0	0	0	14495	0	39038	30	6321	2554
Gene	2	20	0.001	0.2	6341	2177	6500	0	0	6728	2177	0	0	0	0.755530600786075	0	5	0	6728	2172	0.000561482313307131	0	0.00229673863114378	0.756092083099382	1	808	458	6270	1369	0.0907355418304323	0.0514317798989332	0.371152962792834	0.794834362717574	0.638230647709321	181	45	6683	1996	0.0203256597417181	0.00505334081976418	0.0831419384474047	0.770802919708029	0.800884955752212	34	7	6721	2143	0.00381807973048849	0.000786075238629983	0.0156178226917777	0.758562605277934	0.829268292682927	0	0	6728	2177	0	0	0	0.755530600786075	0	23	2154	14265	7576	31248	26	6315	2564
Gene	2	40	0.001	0.4	6280	3678	9872	0	0	5227	3678	0	0	0	0.586973610331275	0	9	0	5227	3669	0.00101066816395284	0	0.00244698205546493	0.587984278495227	1	1196	174	5053	2482	0.134306569343066	0.0195395845030882	0.325176726481784	0.701740595171252	0.872992700729927	272	11	5216	3406	0.0305446378439079	0.00123526108927569	0.0739532354540511	0.616282987085907	0.96113074204947	67	0	5227	3611	0.00752386299831555	0	0.0182164219684611	0.59449747332959	1	1	0	5227	3677	0.000112296462661426	0	0.000271886895051658	0.587085906793936	1	20	3658	13949	15125	23428	20	6260	2625
Gene	2	60	0.001	0.6	6230	4729	11580	1	0	4176	4728	0.000112296462661426	0	0.000211461196870374	0.469062324536777	1	15	0	4176	4714	0.00168444693992139	0	0.00317191795305561	0.470634475014037	1	1452	36	4140	3277	0.163054463784391	0.00404267265581134	0.307041657855783	0.627961819202695	0.975806451612903	314	1	4175	4415	0.0352610892756878	0.000112296462661426	0.0663988158172975	0.504098820887142	0.996825396825397	63	0	4176	4666	0.00707467714766985	0	0.0133220554028336	0.476024705221786	1	1	0	4176	4728	0.000112296462661426	0	0.000211461196870374	0.469062324536777	1	30	4699	13595	22735	15622	30	6200	2675
Gene	2	80	0.001	0.8	6173	5490	12690	0	0	3415	5490	0	0	0	0.38349241998877	0	25	0	3415	5465	0.00280741156653565	0	0.00455373406193078	0.386299831555306	1	1650	5	3410	3840	0.185289163391353	0.000561482313307131	0.300546448087432	0.568220101066816	0.996978851963746	424	0	3415	5066	0.0476137001684447	0	0.0772313296903461	0.431106120157215	1	96	0	3415	5394	0.0107804604154969	0	0.0174863387978142	0.394272880404267	1	4	0	3415	5486	0.000449185850645705	0	0.000728597449908925	0.383941605839416	1	34	5456	13474	30349	7818	34	6139	2732
Gene	2	100	0.001	1	6105	6105	13007	0	0	2800	6105	0	0	0	0.314430095451993	0	16	0	2800	6089	0.00179674340258282	0	0.00262080262080262	0.316226838854576	1	1768	0	2800	4337	0.198540145985401	0	0.28959868959869	0.512970241437395	1	407	0	2800	5698	0.0457046603032005	0	0.0666666666666667	0.360134755755194	1	98	0	2800	6007	0.0110050533408198	0	0.0160524160524161	0.325435148792813	1	4	0	2800	6101	0.000449185850645705	0	0.000655200655200655	0.314879281302639	1	16	6089	13007	37937	0	16	6089	2800
Gene	3	0	0.001	0	6400	0	0	0	0	8905	0	0	0	0	1	0	0	2	8903	0	0	0.000224592925322852	0	0.999775407074677	0	0	1085	7820	0	0	0.121841661987647	0	0.878158338012353	0	0	175	8730	0	0	0.0196518809657496	0	0.98034811903425	0	0	27	8878	0	0	0.00303200449185851	0	0.996967995508142	0	0	0	8905	0	0	0	0	1	0	0	0	14330	0	39045	34	6366	2505
Gene	3	20	0.001	0.2	6423	2151	6423	0	0	6754	2151	0	0	0	0.758450308815272	0	2	0	6754	2149	0.000224592925322852	0	0.000929800092980009	0.758674901740595	1	756	427	6327	1395	0.0848961257720382	0.047950589556429	0.351464435146443	0.795395845030882	0.63905325443787	176	43	6711	1975	0.019764177428411	0.00482874789444133	0.0818224081822408	0.773385738349242	0.80365296803653	35	6	6748	2116	0.00393037619314992	0.000673778775968557	0.0162715016271502	0.761706906232454	0.853658536585366	0	0	6754	2151	0	0	0	0.758450308815272	0	29	2122	14195	7555	31245	32	6391	2482
Gene	3	40	0.001	0.4	6284	3636	9708	0	0	5269	3636	0	0	0	0.591690061763054	0	6	0	5269	3630	0.000673778775968557	0	0.00165016501650165	0.592363840539023	1	1182	175	5094	2454	0.132734418865806	0.0196518809657496	0.325082508250825	0.704772599663111	0.871039056742815	264	9	5260	3372	0.0296462661426165	0.00101066816395284	0.0726072607260726	0.620325659741718	0.967032967032967	66	0	5269	3570	0.00741156653565413	0	0.0181518151815182	0.599101628298709	1	0	0	5269	3636	0	0	0	0.591690061763054	0	21	3615	13840	15157	23426	21	6263	2621
Gene	3	60	0.001	0.6	6227	4718	11668	0	0	4187	4718	0	0	0	0.470185289163391	0	14	0	4187	4704	0.00157215047725997	0	0.0029673590504451	0.471757439640651	1	1495	41	4146	3223	0.167883211678832	0.00460415496911847	0.316871555743959	0.633464345873105	0.973307291666667	334	0	4187	4384	0.0375070185289163	0	0.0707927087749046	0.507692307692308	1	91	0	4187	4627	0.0102189781021898	0	0.0192878338278932	0.480404267265581	1	3	0	4187	4715	0.000336889387984278	0	0.000635862653666808	0.470522178551376	1	19	4699	13677	22716	15624	19	6208	2678
Gene	3	80	0.001	0.8	6139	5431	12501	1	0	3474	5430	0.000112296462661426	0	0.000184128153194623	0.390230207748456	1	13	0	3474	5418	0.00145985401459854	0	0.00239366599153011	0.391577765300393	1	1657	4	3470	3774	0.186075238629983	0.000449185850645705	0.305100349843491	0.575743964065132	0.997591812161349	375	0	3474	5056	0.0421111734980348	0	0.0690480574479838	0.432229084783829	1	92	0	3474	5339	0.0103312745648512	0	0.0169397900939054	0.400449185850646	1	1	0	3474	5430	0.000112296462661426	0	0.000184128153194623	0.390230207748456	1	21	5410	13315	30346	7823	21	6118	2766
Gene	3	100	0.001	1	6145	6145	13165	0	0	2760	6145	0	0	0	0.309938236945536	0	19	0	2760	6126	0.0021336327905671	0	0.00309194467046379	0.312071869736103	1	1777	0	2760	4368	0.199550814149354	0	0.289178193653377	0.509489051094891	1	439	0	2760	5706	0.0492981471083661	0	0.071440195280716	0.359236384053902	1	114	0	2760	6031	0.0128017967434026	0	0.0185516680227828	0.322740033688939	1	3	0	2760	6142	0.000336889387984278	0	0.00048820179007323	0.310275126333521	1	19	6126	13165	37880	0	19	6126	2760
Repeat	1	0	0.001	0	777	0	0	0	0	1344	0	0	0	0	1	0	0	4	1340	0	0	0.00297619047619048	0	0.99702380952381	0	0	137	1207	0	0	0.101934523809524	0	0.898065476190476	0	0	44	1300	0	0	0.0327380952380952	0	0.967261904761905	0	0	20	1324	0	0	0.0148809523809524	0	0.985119047619048	0	0	1	1343	0	0	0.000744047619047619	0	0.999255952380952	0	0	0	2381	0	39060	48	729	567
Repeat	1	20	0.001	0.2	740	285	1452	0	0	1059	285	0	0	0	0.787946428571429	0	8	0	1059	277	0.00595238095238095	0	0.0280701754385965	0.79389880952381	1	115	36	1023	170	0.0855654761904762	0.0267857142857143	0.403508771929825	0.84672619047619	0.76158940397351	57	10	1049	228	0.0424107142857143	0.00744047619047619	0.2	0.822916666666667	0.850746268656716	24	1	1058	261	0.0178571428571429	0.000744047619047619	0.0842105263157895	0.805059523809524	0.96	1	0	1059	284	0.000744047619047619	0	0.00350877192982456	0.788690476190476	1	41	244	2293	7583	31235	45	695	604
Repeat	1	40	0.001	0.4	735	451	1933	0	0	893	451	0	0	0	0.664434523809524	0	18	0	893	433	0.0133928571428571	0	0.0399113082039911	0.677827380952381	1	186	13	880	265	0.138392857142857	0.00967261904761905	0.412416851441242	0.793154761904762	0.934673366834171	97	1	892	354	0.072172619047619	0.000744047619047619	0.215077605321508	0.735863095238095	0.989795918367347	56	0	893	395	0.0416666666666667	0	0.124168514412417	0.70610119047619	1	0	0	893	451	0	0	0	0.664434523809524	0	48	403	2332	15178	23463	49	686	609
Repeat	1	60	0.001	0.6	743	578	2128	1	0	766	577	0.000744047619047619	0	0.00173010380622837	0.570684523809524	1	22	0	766	556	0.0163690476190476	0	0.0380622837370242	0.586309523809524	1	201	2	764	377	0.149553571428571	0.00148809523809524	0.347750865051903	0.718005952380952	0.990147783251232	106	0	766	472	0.0788690476190476	0	0.183391003460208	0.648809523809524	1	60	0	766	518	0.0446428571428571	0	0.103806228373702	0.614583333333333	1	5	0	766	573	0.0037202380952381	0	0.00865051903114187	0.573660714285714	1	46	532	2329	22815	15600	46	697	601
Repeat	1	80	0.001	0.8	755	678	2185	0	0	666	678	0	0	0	0.495535714285714	0	26	0	666	652	0.0193452380952381	0	0.0383480825958702	0.514880952380952	1	246	1	665	432	0.183035714285714	0.000744047619047619	0.36283185840708	0.677827380952381	0.995951417004049	116	0	666	562	0.0863095238095238	0	0.171091445427729	0.581845238095238	1	69	0	666	609	0.0513392857142857	0	0.101769911504425	0.546875	1	10	0	666	668	0.00744047619047619	0	0.0147492625368732	0.50297619047619	1	37	641	2273	30350	7806	37	718	589
Repeat	1	100	0.001	1	721	721	2241	0	0	623	721	0	0	0	0.463541666666667	0	38	0	623	683	0.0282738095238095	0	0.0527045769764216	0.491815476190476	1	246	0	623	475	0.183035714285714	0	0.34119278779473	0.646577380952381	1	139	0	623	582	0.103422619047619	0	0.192787794729542	0.566964285714286	1	81	0	623	640	0.0602678571428571	0	0.112343966712899	0.523809523809524	1	16	0	623	705	0.0119047619047619	0	0.0221914008321775	0.475446428571429	1	38	683	2241	37931	0	38	683	623
Repeat	2	0	0.001	0	722	0	0	0	0	1344	0	0	0	0	1	0	0	6	1338	0	0	0.00446428571428571	0	0.995535714285714	0	0	144	1200	0	0	0.107142857142857	0	0.892857142857143	0	0	53	1291	0	0	0.0394345238095238	0	0.960565476190476	0	0	17	1327	0	0	0.0126488095238095	0	0.98735119047619	0	0	0	1344	0	0	0	0	1	0	0	0	2249	0	39038	43	679	622
Repeat	2	20	0.001	0.2	759	300	1500	0	0	1044	300	0	0	0	0.776785714285714	0	3	1	1043	297	0.00223214285714286	0.000744047619047619	0.01	0.77827380952381	0.75	98	51	993	202	0.0729166666666667	0.0379464285714286	0.326666666666667	0.811755952380952	0.657718120805369	47	6	1038	253	0.0349702380952381	0.00446428571428571	0.156666666666667	0.807291666666667	0.886792452830189	21	2	1042	279	0.015625	0.00148809523809524	0.07	0.790922619047619	0.91304347826087	1	0	1044	299	0.000744047619047619	0	0.00333333333333333	0.777529761904762	1	38	262	2353	7576	31248	40	719	585
Repeat	2	40	0.001	0.4	752	448	1904	0	0	896	448	0	0	0	0.666666666666667	0	18	0	896	430	0.0133928571428571	0	0.0401785714285714	0.680059523809524	1	175	14	882	273	0.130208333333333	0.0104166666666667	0.390625	0.786458333333333	0.925925925925926	83	3	893	365	0.0617559523809524	0.00223214285714286	0.185267857142857	0.726190476190476	0.965116279069767	46	0	896	402	0.0342261904761905	0	0.102678571428571	0.700892857142857	1	3	0	896	445	0.00223214285714286	0	0.00669642857142857	0.66889880952381	1	52	396	2346	15125	23428	52	700	592
Repeat	2	60	0.001	0.6	737	561	2102	0	0	783	561	0	0	0	0.582589285714286	0	23	0	783	538	0.0171130952380952	0	0.0409982174688057	0.599702380952381	1	205	1	782	356	0.152529761904762	0.000744047619047619	0.36541889483066	0.734375	0.995145631067961	104	0	783	457	0.0773809523809524	0	0.185383244206774	0.659970238095238	1	59	0	783	502	0.0438988095238095	0	0.105169340463458	0.626488095238095	1	5	0	783	556	0.0037202380952381	0	0.0089126559714795	0.586309523809524	1	44	517	2323	22735	15622	44	693	607
Repeat	2	80	0.001	0.8	750	661	2208	1	0	683	660	0.000744047619047619	0	0.00151285930408472	0.508928571428571	1	37	0	683	624	0.0275297619047619	0	0.0559757942511346	0.535714285714286	1	236	1	682	425	0.175595238095238	0.000744047619047619	0.357034795763994	0.683035714285714	0.9957805907173	129	0	683	532	0.0959821428571429	0	0.195158850226929	0.604166666666667	1	74	0	683	587	0.0550595238095238	0	0.111951588502269	0.563244047619048	1	15	0	683	646	0.0111607142857143	0	0.0226928895612708	0.519345238095238	1	43	618	2304	30349	7818	43	707	594
Repeat	2	100	0.001	1	740	740	2249	1	0	604	739	0.000744047619047619	0	0.00135135135135135	0.45014880952381	1	38	0	604	702	0.0282738095238095	0	0.0513513513513514	0.477678571428571	1	245	0	604	495	0.182291666666667	0	0.331081081081081	0.631696428571429	1	131	0	604	609	0.0974702380952381	0	0.177027027027027	0.546875	1	78	0	604	662	0.0580357142857143	0	0.105405405405405	0.507440476190476	1	18	0	604	722	0.0133928571428571	0	0.0243243243243243	0.462797619047619	1	38	702	2249	37937	0	38	702	604
Repeat	3	0	0.001	0	736	0	0	0	0	1344	0	0	0	0	1	0	0	3	1341	0	0	0.00223214285714286	0	0.997767857142857	0	0	133	1211	0	0	0.0989583333333333	0	0.901041666666667	0	0	55	1289	0	0	0.040922619047619	0	0.959077380952381	0	0	17	1327	0	0	0.0126488095238095	0	0.98735119047619	0	0	0	1344	0	0	0	0	1	0	0	0	2223	0	39045	39	697	608
Repeat	3	20	0.001	0.2	757	280	1507	0	0	1064	280	0	0	0	0.791666666666667	0	13	0	1064	267	0.00967261904761905	0	0.0464285714285714	0.801339285714286	1	113	49	1015	167	0.084077380952381	0.0364583333333333	0.403571428571429	0.839285714285714	0.697530864197531	57	11	1053	223	0.0424107142857143	0.00818452380952381	0.203571428571429	0.825892857142857	0.838235294117647	31	1	1063	249	0.0230654761904762	0.000744047619047619	0.110714285714286	0.813988095238095	0.96875	1	0	1064	279	0.000744047619047619	0	0.00357142857142857	0.792410714285714	1	46	234	2409	7555	31245	50	707	587
Repeat	3	40	0.001	0.4	732	442	1900	0	0	902	442	0	0	0	0.671130952380952	0	14	0	902	428	0.0104166666666667	0	0.0316742081447964	0.681547619047619	1	170	15	887	272	0.126488095238095	0.0111607142857143	0.384615384615385	0.786458333333333	0.918918918918919	77	1	901	365	0.0572916666666667	0.000744047619047619	0.17420814479638	0.727678571428571	0.987179487179487	36	0	902	406	0.0267857142857143	0	0.081447963800905	0.697916666666667	1	3	0	902	439	0.00223214285714286	0	0.00678733031674208	0.673363095238095	1	45	397	2303	15157	23426	45	687	612
Repeat	3	60	0.001	0.6	758	567	2056	0	0	777	567	0	0	0	0.578125	0	25	0	777	542	0.0186011904761905	0	0.0440917107583774	0.59672619047619	1	218	2	775	349	0.162202380952381	0.00148809523809524	0.384479717813051	0.738839285714286	0.990909090909091	110	0	777	457	0.0818452380952381	0	0.194003527336861	0.659970238095238	1	59	0	777	508	0.0438988095238095	0	0.104056437389771	0.62202380952381	1	8	0	777	559	0.00595238095238095	0	0.0141093474426808	0.584077380952381	1	38	529	2296	22716	15624	38	720	586
Repeat	3	80	0.001	0.8	764	678	2200	0	0	666	678	0	0	0	0.495535714285714	0	29	0	666	649	0.021577380952381	0	0.0427728613569322	0.517113095238095	1	232	0	666	446	0.172619047619048	0	0.342182890855457	0.668154761904762	1	131	0	666	547	0.0974702380952381	0	0.193215339233038	0.593005952380952	1	73	0	666	605	0.0543154761904762	0	0.107669616519174	0.54985119047619	1	11	0	666	667	0.00818452380952381	0	0.0162241887905605	0.503720238095238	1	38	640	2296	30346	7823	38	726	580
Repeat	3	100	0.001	1	758	758	2306	0	0	586	758	0	0	0	0.436011904761905	0	48	0	586	710	0.0357142857142857	0	0.0633245382585752	0.47172619047619	1	240	0	586	518	0.178571428571429	0	0.316622691292876	0.614583333333333	1	145	0	586	613	0.107886904761905	0	0.191292875989446	0.54389880952381	1	85	0	586	673	0.0632440476190476	0	0.112137203166227	0.499255952380952	1	16	0	586	742	0.0119047619047619	0	0.0211081794195251	0.447916666666667	1	48	710	2306	37880	0	48	710	586
SeqClass	repi	round	RIPRateSet	RIPRatioSet	MuttedSeqNum	RIPedSeqNum	SNPNumOnRIPedSeq	RIPindex-TP	RIPindex-FP	RIPindex-TN	RIPindex-FN	RIPindex-TPR	RIPindex-FPR	RIPindex-Recall	RIPindex-Accuracy	RIPindex-Precision	TiTv10-TP	TiTv10-FP	TiTv10-TN	TiTv10-FN	TiTv10-TPR	TiTv10-FPR	TiTv10-Recall	TiTv10-Accuracy	TiTv10-Precision	TiTv3-TP	TiTv3-FP	TiTv3-TN	TiTv3-FN	TiTv3-TPR	TiTv3-FPR	TiTv3-Recall	TiTv3-Accuracy	TiTv3-Precision	TiTv5-TP	TiTv5-FP	TiTv5-TN	TiTv5-FN	TiTv5-TPR	TiTv5-FPR	TiTv5-Recall	TiTv5-Accuracy	TiTv5-Precision	TiTv7-TP	TiTv7-FP	TiTv7-TN	TiTv7-FN	TiTv7-TPR	TiTv7-FPR	TiTv7-Recall	TiTv7-Accuracy	TiTv7-Precision	TiTv15-TP	TiTv15-FP	TiTv15-TN	TiTv15-FN	TiTv15-TPR	TiTv15-FPR	TiTv15-Recall	TiTv15-Accuracy	TiTv15-Precision	SNP10RIPedSeqNum	SNP1_9RIPedSeqNum	SNPNum	RIPNumFin	OthNumFin	SNP10SeqNum	SNP1_9SeqNum	SNP0SeqNum
Gene	1	0	0.005	0	8757	0	0	0	0	8905	0	0	0	0	1	0	0	243	8662	0	0	0.0272880404267266	0	0.972711959573273	0	0	4364	4541	0	0	0.490061763054464	0	0.509938236945536	0	0	2005	6900	0	0	0.225154407636159	0	0.774845592363841	0	0	887	8018	0	0	0.099606962380685	0	0.900393037619315	0	0	22	8883	0	0	0.00247052217855138	0	0.997529477821449	0	0	0	71800	0	195238	2677	6080	148
Gene	1	20	0.005	0.2	8740	6075	58343	0	1	2829	6075	0	0.000112296462661426	0	0.317686692869175	0	435	10	2820	5640	0.0488489612577204	0.00112296462661426	0.0716049382716049	0.365524985962942	0.97752808988764	4225	1123	1707	1850	0.474452554744526	0.126108927568782	0.695473251028807	0.66614261650758	0.790014958863126	2338	378	2452	3737	0.262549129702414	0.0424480628860191	0.384855967078189	0.537900056148231	0.860824742268041	1192	117	2713	4883	0.13385738349242	0.0131386861313869	0.196213991769547	0.438517686692869	0.910618792971734	71	0	2830	6004	0.00797304884896126	0	0.0116872427983539	0.325772038180797	1	2399	3676	70096	37846	156172	2549	6191	165
Gene	1	40	0.005	0.4	8737	7729	66569	4	0	1176	7725	0.000449185850645705	0	0.00051753137533963	0.132509825940483	1	772	1	1175	6957	0.086692869174621	0.000112296462661426	0.0998835554405486	0.218641212801797	0.998706338939198	5859	262	914	1870	0.657944974733296	0.0294216732172937	0.758054082028723	0.760583941605839	0.957196536513642	3536	72	1104	4193	0.397080291970803	0.00808534531162268	0.457497735800233	0.521055586749017	0.980044345898004	1973	13	1163	5756	0.221560920830994	0.00145985401459854	0.255272350886272	0.352161706906232	0.993454179254784	121	0	1176	7608	0.0135878719820326	0	0.0156553241040238	0.14564851207187	1	2561	5168	69523	75878	117146	2571	6166	168
Gene	1	60	0.005	0.6	8717	8279	67838	1	1	625	8278	0.000112296462661426	0.000112296462661426	0.000120787534726416	0.0702975856260528	0.5	1274	0	626	7005	0.143065693430657	0	0.153883319241454	0.21336327905671	1	6764	53	573	1515	0.759573273441887	0.00595171252105559	0.817006884889479	0.823919146546884	0.992225319055303	4568	3	623	3711	0.512970241437395	0.000336889387984278	0.551757458630269	0.582930937675463	0.999343688470794	2842	0	626	5437	0.319146546883773	0	0.343278173692475	0.389444132509826	1	315	0	626	7964	0.0353733857383492	0	0.0380480734388211	0.105670971364402	1	2474	5805	68706	113837	78144	2474	6243	188
